year,co2,co2_diff
1951,30.210049,5.195416000000002
1952,31.331244,1.1211950000000002
1953,28.67729,-2.6539540000000024
1954,28.934362,0.25707200000000086
1955,32.35407,3.419708
1956,33.744488,1.3904179999999968
1957,35.089443,1.344955000000006
1958,32.474606,-2.6148370000000014
1959,33.341896,0.867289999999997
1960,36.629093,3.287196999999999
1961,36.580036,-0.049056999999997686
1962,36.08063,-0.49940600000000046
1963,35.410664,-0.6699660000000023
1964,37.673428,2.262764000000004
1965,36.971375,-0.7020529999999994
1966,34.851803,-2.119572000000005
1967,33.82433,-1.0274729999999934
1968,36.37062,2.546289999999999
1969,38.96762,2.596999999999994
1970,40.475006,1.507386000000004
1971,38.581238,-1.8937680000000015
1972,38.988323,0.40708500000000214
1973,40.59391,1.6055869999999999
1974,41.047718,0.4538080000000022
1975,33.544598,-7.503120000000003
1976,33.32911,-0.21548800000000057
1977,30.574385,-2.7547250000000005
1978,32.90406,2.3296750000000017
1979,33.510323,0.6062629999999984
1980,30.443203,-3.067119999999999
1981,26.025719,-4.417484000000002
1982,24.447992,-1.5777269999999994
1983,22.887058,-1.5609339999999996
1984,24.616035,1.7289770000000004
1985,25.204838,0.5888029999999986
1986,24.746542,-0.45829599999999715
1987,23.782467,-0.9640750000000011
1988,24.367577,0.5851100000000002
1989,26.120216,1.7526389999999985
1990,30.98945,4.869234000000002
1991,32.181065,1.1916149999999952
1992,31.166605,-1.0144599999999961
1993,31.136255,-0.030350000000002098
1994,28.71006,-2.426195
1995,22.460876,-6.249184
1996,22.283075,-0.17780099999999877
1997,20.467562,-1.8155129999999993
1998,18.091682,-2.375880000000002
1999,18.90661,0.8149280000000019
2000,19.9792,1.0725899999999982
2001,20.862108,0.8829080000000005
2002,22.382103,1.5199950000000015
2003,23.15829,0.7761870000000002
2004,25.822998,2.6647079999999974
2005,25.984957,0.16195900000000307
2006,25.213663,-0.771294000000001
2007,23.562086,-1.6515769999999996
2008,22.86432,-0.6977660000000014
2009,21.3514,-1.5129199999999976
2010,22.082712,0.7313119999999991
2011,21.424578,-0.6581340000000004
2012,20.490171,-0.9344070000000002
2013,19.037624,-1.4525469999999991
2014,17.665773,-1.3718509999999995
2015,16.42211,-1.2436630000000015
2016,15.58947,-0.8326399999999996
2017,15.542759,-0.04671100000000017
2018,15.748627,0.2058680000000006
2019,15.757939,0.009311999999999543
2020,12.797711,-2.9602280000000007
2021,13.18523,0.38751900000000106
2022,11.618432,-1.5667980000000004
